Code,Country,Industry,Transport,Residential,Services
AT,Austria,32.31,32.16,25.22,10.31
BE,Belgium,31.51,29.03,25.28,14.18
BG,Bulgaria,29.33,33.26,25.98,11.43
CH,Switzerland,18.33,34.6,30.05,17.02
CY,Cyprus,13.19,57.14,16.48,13.19
CZ,CzechRepublic,35.32,25.36,26.69,12.62
DE,Germany,27.95,28.58,28.65,14.83
DK,Denmark,16.59,35.29,33.45,14.68
EE,Estonia,20.21,28.01,36.52,15.25
EL,Greece,19.03,44.87,25.4,10.7
ES,Spain,26.79,42.71,18.9,11.61
FI,Finland,47.72,20.44,23.82,8.02
FR,France,20.97,33.77,29.56,15.7
HR,Croatia,22.66,33.83,25.78,17.73
HU,Hungary,18,27.21,35.37,19.42
IE,Ireland,16.67,40.54,28.13,14.67
IT,Italy,25.59,34.57,25.86,13.97
LT,Lithuania,19.44,33.48,34.13,12.96
LU,Luxembourg,17.52,61.21,11.45,9.81
LV,Latvia,18.73,29.44,36.74,15.09
MT,Malta,11.36,63.64,13.64,11.36
NL,Netherlands,28.3,29.75,22.78,19.17
NO,Norway,32.61,28.24,23.07,16.09
PL,Poland,24.6,28.13,33.6,13.67
PT,Portugal,30.47,41.66,16.85,11.02
RO,Romania,31.47,22.87,37.05,8.6
SE,Sweden,37.33,25.63,22.4,14.64
SI,Slovenia,26.34,36.83,26.34,10.49
SK,Slovakia,37.99,23.14,20.17,18.69
TR,Turkey,35.31,23.3,33.02,8.37
UK,UnitedKingdom,20.12,37.44,31.79,10.66
