Code,u1,u2,u3,u4
AT,-0.02449620395165951,0.20664150096903694,-0.04258272285046596,0.013328333559352182
BE,-0.01773400974322125,0.05971909907405858,0.12433261350473412,0.06669220153650063
BG,-0.011258548014259519,0.12418452774173853,-0.034567828969259626,-0.0019490823688301112
CH,0.07239593131410547,-0.2279924168451664,0.061404428977323434,-0.04784361168186231
CY,-0.29232706696637395,-0.20406018524972816,-0.18146005272525004,-0.01919153311009017
CZ,-0.04541385569634274,0.16960267575153423,0.1929099562285527,-0.2010775468484986
DE,0.12981837914829963,-0.0034872643239269316,0.014459053763473985,0.27556908903994
DK,0.2199391005349123,-0.15928432370034057,-0.16005644035566316,0.12931650202109804
EE,0.1670611918455275,-0.12823614496221428,0.08921291180902671,-0.38485815222426384
EL,-0.055472471420564315,-0.007877985788685801,-0.21717493889654105,-0.09566138168467178
ES,-0.12621265899340006,0.06843561172544624,-0.14492398031178913,0.31042469773199916
FI,-0.0222153716814488,0.5168529484293171,0.0759713394407357,0.12258753700273621
FR,0.06467662902531045,-0.14308668862464952,0.03906865610008694,-0.04124923911763084
HR,-0.02244538025230653,-0.19706714985857662,0.1595407967849178,0.042015595865438855
HU,0.21070084740730796,-0.30425636733567607,0.16408107422565962,-0.06498270920715164
IE,0.08553955578425175,-0.17014168252470802,-0.15609098912453542,0.18185707717703584
IT,-0.0904025591394902,-0.026923875540741847,0.11468100190011646,-0.2548133559833252
LT,0.24162720308142363,-0.054516888452741386,-0.1985216026670809,0.11998196752490745
LU,-0.48501589790396177,-0.03786911006636485,-0.18535872654514937,-0.24814089984050214
LV,0.23904409061830859,-0.13901848402166972,-0.025949707504143996,-0.1401498827764551
MT,-0.37269315974290895,-0.17462923319739151,-0.29066832383887103,-0.035785193011192845
NL,-0.08017480679139065,-0.16876850616398972,0.3095631942667544,0.1421043777304817
NO,0.0037907613885841324,0.010206591801221217,0.14355775644023558,0.3896911009723741
PL,0.17291027057834588,-0.007841304428388358,-0.004457304812361105,-0.08164592579761026
PT,-0.23992531801638156,0.13445072439583258,-0.03135370929856414,0.09060849316304902
RO,0.19846450519469155,0.27557941491408333,-0.05472050706657586,-0.39836700740234937
SE,-0.07381704611761238,0.12519609120373126,0.2316766913938382,0.15175306275199016
SI,-0.012123228552386994,0.11246722581974881,-0.12149275704226087,-0.0457536734112852
SK,-0.19142611835030768,-0.016776703712574326,0.5156588085551155,-0.019209121578408983
TR,0.1773191952488228,0.3379745809116905,-0.0933966222454242,-0.06779472824547189
UK,0.1798660401614689,0.030523322059888922,-0.293342069133338,0.11254300820282616
